InstanceType,Codec,Threads,CompressionTime_Median,CompressionTime_Std,CompressionTime_Min,CompressionTime_Max,Efficiency_Median,TotalCost_Median
m5_large,h264,1,2.712871839,0.03909189870896829,2.676950568,2.798151693,13822.998971521305,7.234324903999999e-05
m5_large,h264,3,2.441223048,0.010958124518649632,2.432379009,2.480655805,15361.153167117947,6.509928127999999e-05
m5_large,h264,5,2.453088126,0.018992061970786785,2.430160163,2.504414295,15286.855329497945,6.541568336e-05
m5_large,h264,10,2.479485201,0.029425515437200504,2.438214705,2.534914233,15124.107498575115,6.611960536e-05
m5_large,h265,1,4.3119047555000005,0.03257662777848953,4.266224468,4.382795599,8696.852898984303,0.00011498412681333334
m5_large,h265,3,4.1941914785000005,0.03019603834857233,4.166033384,4.274687995,8940.937002111119,0.00011184510609333333
m5_large,h265,5,4.196995880999999,0.034589061295198946,4.150931536,4.268208745,8934.962307866641,0.00011191989016
m5_large,h265,10,4.168478013,0.02028805595175981,4.14181412,4.233016084,8996.089226358212,0.00011115941367999999
m5_large,vp9,1,17.182510544000003,0.07236594145275595,17.043034474,17.358732116,2182.4517388842933,0.0004582002811733334
m5_large,vp9,3,17.1378534085,0.06362061287559113,17.008784836,17.276894419,2188.1387061271644,0.0004570094242266667
m5_large,vp9,5,17.189522501,0.062401223541106214,17.05060883,17.300776068,2181.5614931946275,0.0004583872666933333
m5_large,vp9,10,17.1838402965,0.09147930834111279,17.104496974,17.434294313,2182.2828539544585,0.00045823574123999997
m5_xlarge,h264,1,2.52601488,0.004786361341772367,2.519560428,2.54132611,7422.759126216768,0.00013472079360000002
m5_xlarge,h264,3,1.656402532,0.013181254558587402,1.624856354,1.6739305,11319.712235782597,8.834146837333334e-05
m5_xlarge,h264,5,1.620989338,0.012974927225565853,1.590917417,1.645828255,11567.0107787839,8.645276469333333e-05
m5_xlarge,h264,10,1.6306871955,0.013843625551328734,1.604203202,1.65814134,11498.220092673744,8.696998376e-05
m5_xlarge,h265,1,2.9799043925,0.013494172478326264,2.951030607,3.006866838,6292.148974771975,0.0001589282342666667
m5_xlarge,h265,3,2.566474123,0.010201500156067463,2.553922212,2.598291684,7305.743720860712,0.00013687861989333333
m5_xlarge,h265,5,2.458690701,0.010295344564188461,2.442510127,2.480079021,7626.010108325083,0.00013113017072
m5_xlarge,h265,10,2.4055961905,0.009419924661955752,2.385386933,2.426577537,7794.3256148756445,0.00012829846349333334
m5_xlarge,vp9,1,16.811261364,0.028808515647400265,16.763952237,16.87496979,1115.3238155495021,0.00089660060608
m5_xlarge,vp9,3,16.809353129,0.026427009311821688,16.776922507,16.88267386,1115.4504576591407,0.0008964988335466666
m5_xlarge,vp9,5,16.805338960999997,0.021075465605676774,16.773593575,16.861799564,1115.7168649646994,0.0008962847445866666
m5_xlarge,vp9,10,16.8236913235,0.03363807548983887,16.772362325,16.90859402,1114.4997634345664,0.0008972635372533333
m5_2xlarge,h264,1,2.523306571,0.013922911926374312,2.511686822,2.567083915,3715.3634248382405,0.0002691527009066667
m5_2xlarge,h264,3,1.436139987,0.032774072329542166,1.366226793,1.480229963,6527.917207383323,0.00015318826528
m5_2xlarge,h264,5,1.40475378,0.01897276482043315,1.350075746,1.431874091,6673.768367099268,0.00014984040320000001
m5_2xlarge,h264,10,1.3986383665,0.024227091069740397,1.321871142,1.425632882,6702.947828943179,0.00014918809242666666
m5_2xlarge,h265,1,2.647230924,0.017618741013165826,2.605129105,2.679586582,3541.438155687406,0.00028237129856
m5_2xlarge,h265,3,2.1479542975,0.01063119134536042,2.125048093,2.168171372,4364.618112146698,0.00022911512506666666
m5_2xlarge,h265,5,1.988836974,0.011960231453051244,1.962240634,2.009240323,4713.810292303344,0.00021214261056
m5_2xlarge,h265,10,1.901592127,0.011100808343267684,1.888578816,1.936027047,4930.084241861816,0.00020283649354666666
m5_2xlarge,vp9,1,16.803502537,0.04716501875865541,16.748340132,16.934523493,557.9193970405861,0.0017923736039466666
m5_2xlarge,vp9,3,16.8408584235,0.03848362133888973,16.776003352,16.909696499,556.6818418501025,0.0017963582318399997
m5_2xlarge,vp9,5,16.837264147,0.049630987595711586,16.754087943,16.906429094,556.8006857424656,0.0017959748423466665
m5_2xlarge,vp9,10,16.8110469445,0.04274443395225081,16.745699268,16.952137545,557.6690192321389,0.0017931783407466669
m5_4xlarge,h264,1,2.547830683,0.01485234345118866,2.530039625,2.585819413,1839.8005281436945,0.0005435372123733333
m5_4xlarge,h264,3,1.339253148,0.011195230606673288,1.330933892,1.383610695,3500.0851531871804,0.00028570733824
m5_4xlarge,h264,5,1.2974547295,0.03935670364537975,1.267530069,1.410216004,3612.8448415968555,0.0002767903422933333
m5_4xlarge,h264,10,1.302295776,0.02906556944887167,1.284141189,1.422325846,3599.412879128935,0.00027782309888
m5_4xlarge,h265,1,2.5324157735,0.022782919617021936,2.490985068,2.603789865,1850.9994128706257,0.0005402486983466666
m5_4xlarge,h265,3,2.0404359635000002,0.01746450153983904,2.002971527,2.090977016,2297.306276815688,0.00043529300554666665
m5_4xlarge,h265,5,1.867144911,0.013229061332960208,1.848581062,1.903610486,2510.517530439528,0.00039832424768
m5_4xlarge,h265,10,1.762047328,0.016224098334885594,1.737253352,1.809244246,2660.2587859028513,0.00037590342997333333
m5_4xlarge,vp9,1,16.852031871,0.03495756173655423,16.816550285,16.963321653,278.1563694965695,0.00359510013248
m5_4xlarge,vp9,3,16.864708141,0.03823047040515646,16.809445842,16.951844325,277.9472995791581,0.003597804403413333
m5_4xlarge,vp9,5,16.835383253,0.03760519063272294,16.793986241,16.916233669,278.4314427839556,0.0035915484273066666
m5_4xlarge,vp9,10,16.886973628,0.049599810694599684,16.789808386,16.977096374,277.5808232902733,0.003602554373973333
