h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.530039625,1.339404255,1.312668549,1.291990476,2.548754307,2.046004974,1.871530603,1.772134519,16.872654525,16.920467432,16.912248068,16.914259354
2.560372454,1.339944942,1.270030449,1.296690705,2.535597283,2.058136185,1.866759465,1.750469711,16.845541467,16.918591091,16.874999899,16.888582372
2.538314973,1.383610695,1.381661906,1.300438015,2.538600976,2.043631029,1.871120887,1.757963888,16.828594331,16.809445842,16.823286408,16.977096374
2.550024707,1.341451848,1.290007942,1.29840486,2.514598293,2.05263223,1.880558809,1.780715677,16.864362514,16.845569473,16.818347306,16.940367358
2.537295917,1.336914457,1.311599097,1.347544308,2.530652993,2.043902513,1.87122091,1.751811146,16.849616136,16.866992219,16.812470638,16.935966817
2.530578101,1.331617075,1.277380808,1.422325846,2.561628737,2.027762934,1.851503656,1.757697254,16.860753326,16.819513925,16.793986241,16.896175522
2.530848302,1.339744993,1.290894251,1.293947874,2.559660413,2.048382659,1.852477886,1.772332327,16.853886601,16.847427474,16.828572282,16.845013218
2.565128358,1.366094267,1.292796635,1.306720248,2.541188975,2.016742545,1.869132736,1.745660527,16.867408612,16.845965395,16.821787075,16.922596153
2.582389363,1.351173001,1.303942092,1.313232878,2.535697839,2.042810153,1.858828772,1.768347304,16.963321653,16.841481704,16.807356389,16.917072282
2.546633783,1.339449118,1.324331988,1.294085352,2.533038737,2.068649465,1.855106523,1.752623709,16.850216876,16.882840063,16.916233669,16.858237877
2.545763772,1.357884499,1.271783241,1.315001695,2.513358096,2.024513334,1.882892622,1.771012242,16.855508892,16.854831564,16.877711685,16.926507426
2.547258752,1.347273348,1.275460564,1.363361813,2.536498823,2.019853088,1.853338833,1.763212734,16.832764085,16.880314713,16.908922724,16.852475631
2.548402614,1.337157974,1.284409099,1.304804497,2.560963019,2.015443935,1.873283912,1.754006602,16.847274706,16.948537565,16.885523259,16.872032034
2.585819413,1.332196163,1.274589418,1.294612458,2.532803521,2.036777579,1.850296922,1.750156509,16.845355917,16.951844325,16.805546104,16.906694671
2.533689397,1.333216481,1.296483493,1.302027514,2.513125592,2.03761965,1.879389872,1.781352866,16.909763644,16.834080415,16.8600063,16.931672799
2.544728913,1.339102041,1.295104531,1.35877706,2.514155799,2.04830211,1.894374209,1.764136724,16.909160973,16.832114977,16.826735613,16.828640145
2.539896156,1.331288654,1.386231196,1.302562738,2.493748627,2.035799419,1.87164754,1.737253352,16.816550285,16.914130449,16.911350104,16.825797405
2.559729576,1.343798719,1.410216004,1.296686593,2.510519977,2.032424432,1.871015923,1.763164857,16.8424393,16.852518928,16.839633585,16.831414594
2.542460137,1.340834438,1.275150875,1.304402931,2.519861678,2.043006039,1.848587714,1.789121167,16.926685431,16.874590319,16.80942109,16.796071246
2.563892155,1.336708708,1.40645322,1.308141935,2.499754369,2.059258069,1.854396003,1.755660149,16.852516575,16.824400973,16.841484438,16.877702836
2.554028427,1.345525967,1.267530069,1.312143912,2.603789865,2.048277266,1.861141474,1.797984491,16.88758369,16.833568663,16.807663969,16.91918757
2.541055535,1.340200982,1.306252201,1.302034575,2.532028026,2.031524226,1.854935503,1.756836392,16.903471823,16.862424063,16.838618543,16.916133981
2.542892622,1.333858818,1.348844343,1.297960207,2.537843321,2.028617844,1.903610486,1.753405643,16.842774885,16.903175647,16.849328022,16.848795703
2.580739375,1.33711779,1.298425966,1.298398239,2.526925358,2.054602204,1.867296596,1.809244246,16.830797971,16.840378564,16.915882324,16.789808386
2.565695882,1.341787212,1.293744019,1.302008402,2.517918574,2.060933474,1.864589175,1.784553518,16.837964583,16.820925618,16.830399247,16.816937928
2.561451031,1.336396666,1.304127985,1.295317104,2.537787007,2.036284708,1.848581062,1.760929799,16.870402352,16.895155473,16.837103714,16.890052828
2.551372103,1.335811013,1.302114302,1.303191652,2.490985068,2.038061774,1.866993226,1.759781448,16.851547167,16.86939772,16.833662792,16.851459005
2.549558654,1.332248176,1.330509709,1.284141189,2.509960413,2.034346912,1.861049157,1.766728939,16.843650978,16.889920236,16.845172837,16.796212724
2.552074952,1.333312425,1.302756271,1.302556977,2.525049386,2.002971527,1.871860867,1.750392913,16.849375214,16.869183484,16.814175877,16.885364884
2.542684433,1.330933892,1.296306512,1.356164929,2.540641857,2.090977016,1.874340146,1.781702536,16.939235048,16.909523083,16.813460107,16.93917089
